Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.eVar29,,"s.eVar29=""[shipping method]""","s.eVar29=""[shipping method]""","s.eVar29=""[shipping method]""","s.eVar29=""[shipping method]""",,
s.eVar30,,"s.eVar30=""[subscription type]""",,"s.eVar30=""[subscription type]""",,,
s.eVar31,,"s.eVar31=""[parent sku]""","s.eVar31=""[parent sku]""","s.eVar31=""[parent sku]""","s.eVar31=""[parent sku]""",,
s.eVar32,,,,"s.eVar32=""[CRM customer id]""",,,
s.eVar33,,,,,,,
s.eVar34,,,,,,,
s.eVar35,,,,,,,
s.eVar36,,,,,,,
s.eVar37,,,,,,,
s.eVar38,,,,,,,
s.eVar39,,,,,,,
s.eVar40,"s.eVar40=""national""
s.eVar40=""local""",,"s.eVar40=""[FAQ search term]""","s.eVar40=""[product]""",,,
s.eVar41,,"s.eVar41=""customized""
s.eVar41=""[pre-defined pack]""","s.eVar41=""[# of search results]""","s.eVar41=""[gender]""","s.eVar41=""[# of results]""",,
s.eVar42,,"s.eVar42=""[lens strength]""","s.eVar42=""[brand]""",,"s.eVar42=""[feature]""",,
s.eVar43,,"s.eVar43=""visitor input""
s.eVar43=""call optometrist""
s.eVar43=""mail""
s.eVar43=""fax""","s.eVar43=""[internal search term]""","s.eVar43=""[isg skipped step]""","s.eVar43=""[feature description]""",,
s.eVar44,,,"s.eVar44=""[form error field]""","s.eVar44=""[isg step selection]""","s.eVar44=""[brand]""",,
s.eVar45,,,"s.eVar45=""s.prop16+s.prop17""","s.eVar45=""[cart version]""",,,
s.eVar46,,,"s.eVar46=""[lens type]""","s.eVar46=""[brand selected]""",,,
s.eVar47,,,"s.eVar47=""[shopping tool used]""",,,,
s.eVar48,,,"s.eVar48=""[eye exam id]""",,"s.eVar48=""[eye exam id]""",,
s.eVar49,,,"s.eVar49=""[keyword]""",,"s.eVar49=""[keyword]""",,
s.eVar50,,,,,,,
s.eVar51,,"s.eVar51=""+1""",,"s.eVar51=""+1""",,,
s.eVar52,,,,,,,
s.eVar53,,,,,,,
s.eVar54,,,,,,,
s.eVar55,,,,,,,
s.eVar56,,,,,,,
s.eVar57,,,,,,,
s.eVar58,,,,,,,
s.eVar59,,,,,,,
s.eVar60,,,,,,,
s.eVar61,,,"s.eVar61=""[site navigation]""",,"s.eVar61=""[site navigation]""",,
s.eVar62,"s.eVar62=""[link name]""",,,,,,
s.eVar63,,,,,,,
s.eVar64,,,,,,,
s.eVar65,,,,,,,
s.eVar66,,,,,,,
s.eVar67,,,,,,,
s.eVar68,,,,,,,
s.eVar69,,,,,,,
s.eVar70,,,,,,,
s.eVar71,,,,,,,
s.eVar72,,,,,,,
s.eVar73,,,,,,,
s.eVar74,,,,,,,
s.eVar75,,,,,,,
,,,,,,,
s.state,,,,,,,
s.zip,,,,,,,
,,,,,,,
